metabolite,importance_score,importance_std,selection_frequency
N2-methylguanosine,1.5741027270203772e-06,1.0054039745938768e-06,3
1-methylhistamine,1.5551185283834025e-06,1.0700273748344087e-06,2
1-meadoyl-GPC (20:3n9)*,1.4582770236195422e-06,8.594635416895109e-07,3
3-hydroxyhexanoylcarnitine (1),1.4541347444793476e-06,9.445888401752425e-07,3
1-palmitoyl-GPA (16:0),1.4319816969894288e-06,9.609931468297142e-07,3
m-tyramine sulfate,1.4143628267203077e-06,8.797725046036516e-07,3
1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*,1.4122902953443653e-06,9.086829119883201e-07,3
1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*,1.3984277088854755e-06,1.0309177189979916e-06,2
1-eicosapentaenoyl-GPE (20:5)*,1.3958125454020759e-06,8.252537050677857e-07,3
1-eicosapentaenoyl-GPC (20:5)*,1.3907174383991033e-06,8.431626604249389e-07,3
2-docosahexaenoyl-GPC (22:6)*,1.3865895935163244e-06,8.831999534997888e-07,3
"bilirubin degradation product, C16H18N2O5 (3)**",1.3736216194400648e-06,8.650195652319592e-07,3
"bilirubin degradation product, C16H18N2O5 (2)**",1.3647154805858837e-06,8.641271384442489e-07,3
1-stearoyl-2-adrenoyl-GPE (18:0/22:4)*,1.3638929378708736e-06,8.935941802309305e-07,3
1-eicosenoyl-GPE (20:1)*,1.3625866734972316e-06,8.512723637388321e-07,3
"bilirubin degradation product, C17H18N2O4 (1)**",1.359291256713223e-06,8.650551232628049e-07,3
"bilirubin degradation product, C16H18N2O5 (1)**",1.357802331265396e-06,8.278697206033563e-07,3
behenoyl dihydrosphingomyelin (d18:0/22:0)*,1.3577943761718936e-06,9.059706116786066e-07,3
2-hydroxysebacate,1.3416912463064616e-06,8.297912347731584e-07,3
1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*,1.3371822553737761e-06,8.982882607202337e-07,2
1-palmityl-2-palmitoyl-GPC (O-16:0/16:0)*,1.3333586116735027e-06,8.184175198618306e-07,3
1-linolenoyl-GPE (18:3)*,1.3327165966564787e-06,8.905456091597432e-07,2
1-oleoyl-GPI (18:1),1.3303330964886673e-06,8.817655146489216e-07,3
isoleucylglycine,1.3287779918438161e-06,9.725544691534838e-07,3
"5,6-dihydrouracil",1.326265532835485e-06,8.821250078985364e-07,3
2-arachidonoyl-GPE (20:4)*,1.3255587318338207e-06,8.134272218512594e-07,3
