metabolite,p_value,q_value,log2_fc,median_high,median_low
octadecadienedioate (C18:2-DC)*,0.0031870039102465,0.9423400569916458,,-0.1986410915851593,0.5745351314544678
4-guanidinobutanoate,0.0034006738872769,0.9423400569916458,,-1.6525285243988037,0.1098553538322448
gamma-glutamyltyrosine,0.0039961778248202,0.9423400569916458,,-0.0638273060321807,0.2292624115943908
1-oleoyl-GPG (18:1)*,0.0055626222168733,0.9423400569916458,,-0.0975359231233596,0.3565801680088043
3-methylhistidine,0.0055626222168733,0.9423400569916458,,-0.4919500052928924,1.1202822923660278
methylmalonate (MMA),0.0061966676359602,0.9423400569916458,,-0.0685878247022628,0.2648957371711731
"12,13-DiHOME",0.0094156100406552,0.9423400569916458,,-0.3001706898212433,0.8146145343780518
1-linoleoyl-GPG (18:2)*,0.0115606924349699,0.9423400569916458,,-0.1485935896635055,0.1888888478279113
prolylglycine,0.0127757815907155,0.9423400569916458,,-0.0475980192422866,0.7245625853538513
1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*,0.0141025551520556,0.9423400569916458,,-0.0868129730224609,0.2192188203334808
glycocholate,0.0141025551520556,0.9423400569916458,,-0.4677094221115112,0.6871382594108582
N-acetylglutamate,0.0141025551520556,0.9423400569916458,,-0.0560178644955158,0.309438556432724
S-methylmethionine,0.0147609986681747,0.9423400569916458,,-2.171428918838501,1.1386511325836182
"9,10-DiHOME",0.0154829767937063,0.9423400569916458,,-0.1594127565622329,1.0979992151260376
2-ketocaprylate,0.0171254468580066,0.9423400569916458,,-0.1173928529024124,0.2771459221839905
glucuronide of C12H22O4 (2)*,0.0189325438229248,0.9423400569916458,2.910203353349652,-1.541029453277588,-0.2049993276596069
2-hydroxydecanoate,0.0207025134772897,0.9423400569916458,,-0.1317867338657379,0.4737817049026489
1-linolenoyl-GPE (18:3)*,0.0207025134772897,0.9423400569916458,,-0.3099716007709503,0.2783635258674621
campesterol,0.0207119314884466,0.9423400569916458,-0.942291123490771,-0.3261420130729675,-0.626707136631012
hexadecanedioate (C16-DC),0.0227237394944197,0.9423400569916458,,-0.1223823651671409,0.4882606267929077
2-hydroxyarachidate*,0.0227237394944197,0.9423400569916458,,-0.0339676104485988,0.5482320189476013
1-eicosapentaenoyl-GPE (20:5)*,0.0249049793046004,0.9423400569916458,,-0.372977077960968,0.2324072271585464
1-methyl-5-imidazolelactate,0.0249049793046004,0.9423400569916458,,-0.4283875823020935,0.1953410059213638
octadecenedioate (C18:1-DC),0.0272853933626587,0.9423400569916458,,-0.1618126034736633,0.2633087038993835
2-aminooctanoate,0.0272853933626587,0.9423400569916458,,-0.2615110278129577,0.1392740905284881
branched chain 14:0 dicarboxylic acid**,0.0285923587230642,0.9423400569916458,,-0.8993858098983765,0.4416365623474121
tyrosine,0.0298487292880564,0.9423400569916458,,-0.0391284525394439,0.1930778920650482
gamma-glutamylphenylalanine,0.0298487292880564,0.9423400569916458,,-0.0982118770480156,0.1350436359643936
phenylacetylglycine,0.0299556540440789,0.9423400569916458,,-1.0853310823440552,0.2077730745077133
4-hydroxyphenylpyruvate,0.0326164294512311,0.9423400569916458,,-0.1462480425834655,0.2522713243961334
N-methylproline,0.0356010620028761,0.9423400569916458,,-0.355584979057312,0.2342860400676727
1-palmitoyl-2-eicosapentaenoyl-GPC (16:0/20:5)*,0.0356010620028761,0.9423400569916458,,-0.0794442147016525,0.2782973945140838
1-linolenoyl-GPC (18:3)*,0.0356010620028761,0.9423400569916458,,-0.1873262524604797,0.3407434225082397
1-stearoyl-2-docosapentaenoyl-GPE (18:0/22:5n3)*,0.0356010620028761,0.9423400569916458,,0.0861464515328407,-0.3364523351192474
13-HODE + 9-HODE,0.0356010620028761,0.9423400569916458,,-0.1170806437730789,0.4346433877944946
palmitoyl dihydrosphingomyelin (d18:0/16:0)*,0.0388156181813356,0.9423400569916458,,-0.0175356231629848,0.1246498599648475
1-eicosapentaenoyl-GPC (20:5)*,0.0388156181813356,0.9423400569916458,,-0.3719411492347717,0.3842846155166626
pantothenate,0.0388156181813356,0.9423400569916458,,-0.0400224737823009,0.5012632012367249
