enzyme_id,enzyme_name,reaction_id,equation
ec:2.4.2.15,guanosine phosphorylase,R02147,Guanosine + Orthophosphate <=> Guanine + alpha-D-Ribose 1-phosphate
ec:1.1.1.98,(R)-2-hydroxy-fatty-acid dehydrogenase,R03021,(R)-2-Hydroxystearate + NAD+ <=> 2-Oxooctadecanoic acid + NADH + H+
ec:1.1.1.66,omega-hydroxydecanoate dehydrogenase,R03886,
ec:2.1.1.5,betaine---homocysteine S-methyltransferase,R02821,
ec:3.5.1.74,chenodeoxycholoyltaurine hydrolase,R03977,Taurochenodeoxycholate + H2O <=> Chenodeoxycholate + Taurine
ec:3.5.3.2,guanidinoacetase,R00775,
ec:3.5.4.3,guanine deaminase,R01676,
ec:1.13.11.65,carotenoid isomerooxygenase,R10192,
ec:2.4.1.276,zeaxanthin glucosyltransferase,R07574,
ec:3.4.13.5,Xaa-methyl-His dipeptidase,R03288,beta-Alanyl-N(pi)-methyl-L-histidine + H2O <=> beta-Alanine + N(pi)-Methyl-L-histidine
ec:3.2.2.2,inosine nucleosidase,R01770,Inosine + H2O <=> Hypoxanthine + D-Ribose
ec:3.5.3.3,creatinase,R01566,
ec:6.3.2.1,pantoate---beta-alanine ligase (AMP-forming),R02473,
ec:3.5.1.22,pantothenase,R02474,
ec:3.2.2.7,adenosine nucleosidase,R01245,Adenosine + H2O <=> Adenine + D-Ribose
ec:2.6.1.28,tryptophan---phenylpyruvate transaminase,R01376,
ec:4.1.2.5,L-threonine aldolase,R00751,L-Threonine <=> Glycine + Acetaldehyde
ec:1.14.11.48,xanthine dioxygenase,R10920,
ec:1.3.98.1,dihydroorotate dehydrogenase (fumarate),R01867,
ec:4.1.3.1,isocitrate lyase,R00479,
ec:3.5.4.15,guanosine deaminase,R02145,
ec:1.14.11.3,pyrimidine-deoxynucleoside 2'-dioxygenase,R01879,
ec:1.14.14.54,phenylacetate 2-hydroxylase,R05487,
ec:3.5.1.135,N4-acetylcytidine amidohydrolase,R12635,
ec:3.5.2.9,5-oxoprolinase (ATP-hydrolysing),R00251,
ec:3.1.4.13,serine-ethanolaminephosphate phosphodiesterase,R02817,
ec:2.3.1.188,omega-hydroxypalmitate O-feruloyl transferase,R09106,
ec:2.1.1.2,guanidinoacetate N-methyltransferase,R01883,
ec:3.5.4.2,adenine deaminase,R01244,
ec:2.7.9.2,"pyruvate, water dikinase",R00199,
ec:1.1.3.6,cholesterol oxidase,R01459,
ec:3.1.4.38,glycerophosphocholine cholinephosphodiesterase,R02591,
ec:2.6.1.73,methionine---glyoxylate transaminase,R00652,
ec:2.8.2.34,glycochenodeoxycholate sulfotransferase,R07289,
ec:2.6.1.64,glutamine---phenylpyruvate transaminase,R01375,
ec:2.6.1.4,glycine transaminase,R00372,
ec:3.1.1.76,poly(3-hydroxyoctanoate) depolymerase,R05796,
ec:2.6.1.2,alanine transaminase,R00258,
ec:4.2.1.122,tryptophan synthase (indole-salvaging),R00674,
ec:3.5.2.10,creatininase,R01884,
ec:2.1.1.1,nicotinamide N-methyltransferase,R01269,
ec:2.7.1.32,choline kinase,R01021,
ec:2.7.1.30,glycerol kinase,R00847,
ec:2.7.1.142,glycerol-3-phosphate---glucose phosphotransferase,R00850,
ec:1.1.1.39,malate dehydrogenase (decarboxylating),R00214,
ec:5.2.1.1,maleate isomerase,R01087,
ec:1.14.13.251,glycine betaine monooxygenase,R13016,
ec:2.1.1.376,glycine betaine---corrinoid protein Co-methyltransferase,R12787,
ec:2.1.1.161,dimethylglycine N-methyltransferase,R07244,"S-Adenosyl-L-methionine + N,N-Dimethylglycine <=> S-Adenosyl-L-homocysteine + Betaine"
ec:2.6.1.45,serine---glyoxylate transaminase,R00588,
ec:3.5.1.21,N-acetyl-beta-alanine deacetylase,R00909,
ec:3.5.3.24,N1-aminopropylagmatine ureohydrolase,R10347,
ec:1.2.3.13,4-hydroxyphenylpyruvate oxidase,R00042,
ec:6.3.1.17,beta-citrylglutamate synthase,R10677,
ec:3.7.1.2,fumarylacetoacetase,R01364,
ec:6.3.2.44,pantoate---beta-alanine ligase (ADP-forming),R10821,
ec:1.14.14.18,heme oxygenase (biliverdin-producing),R00311,
ec:1.14.15.20,"heme oxygenase (biliverdin-producing, ferredoxin)",R11579,
ec:2.1.1.8,histamine N-methyltransferase,R02155,
ec:3.5.3.7,guanidinobutyrase,R01990,
