original_met_name,llm_queries,chosen_kegg_cpd,confidence,mapping_score,evidence_line,n_reactions,n_enzymes,n_pathways
S-1-pyrroline-5-carboxylate,s-1-pyrroline-5-carboxylate; 1-pyrroline-5-carboxylate; s-pyrroline-carboxylate; s-1-pyrroline-5-carboxylic acid,cpd:C03912,low,0.9,Query '1-pyrroline-5-carboxylate' -> cpd:C03912: (S)-1-Pyrroline-5-carboxylate; L-1-Pyrroline-5-carboxylate; 1-Pyrroline-5-carboxylate,9,5,6
spermidine,spermidine,cpd:C00315,low,1.0,"Query 'spermidine' -> cpd:C00315: Spermidine; N-(3-Aminopropyl)-1,4-butane-diamine",25,19,9
1-methylnicotinamide,1-methylnicotinamide; methylnicotinamide,cpd:C02918,low,1.0,Query '1-methylnicotinamide' -> cpd:C02918: 1-Methylnicotinamide; N(1)-Methylnicotinamide,3,2,3
"12,13-DiHOME","12,13-dihome; 12,dihome",,low,0.0,,0,0,0
5-hydroxyindoleacetate,5-hydroxyindoleacetate; hydroxyindoleacetate; 5-hydroxyindoleacetic acid,cpd:C05635,low,1.0,Query '5-hydroxyindoleacetate' -> cpd:C05635: 5-Hydroxyindoleacetate,4,3,3
alpha-ketoglutarate,alpha-ketoglutarate; ketoglutarate; alpha-ketoglutaric acid,cpd:C00026,low,0.9,Query 'alpha-ketoglutaric acid' -> cpd:C00026: 2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid,308,23,39
kynurenate,kynurenate; kynurenic acid,cpd:C01717,low,0.9,Query 'kynurenate' -> cpd:C01717: 4-Hydroxy-2-quinolinecarboxylic acid; Kynurenic acid; Kynurenate,7,4,2
3-hydroxyisobutyrate,3-hydroxyisobutyrate; hydroxyisobutyrate; 3-hydroxyisobutyric acid,cpd:C01188,low,0.9,Query '3-hydroxyisobutyrate' -> cpd:C01188: 3-Hydroxy-2-methylpropanoate; 3-Hydroxyisobutyrate; 3-Hydroxyisobutyric acid,2,2,0
3-hydroxy-3-methylglutarate,3-hydroxy-3-methylglutarate; hydroxy-methylglutarate; 3-hydroxy-3-methylglutaric acid,cpd:C03761,low,1.0,Query '3-hydroxy-3-methylglutarate' -> cpd:C03761: 3-Hydroxy-3-methylglutarate; 3-Hydorxy-3-methylglutaric acid; beta-Hydroxy-beta-methylglutaric acid;,2,2,0
homovanillate (HVA),homovanillate (hva); homovanillic acid (hva),,low,0.0,,0,0,0
cholate,cholate; cholic acid,cpd:C00695,low,0.9,"Query 'cholate' -> cpd:C00695: Cholic acid; Cholate; 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholanate; 3alpha,7alpha,12alpha-Trihyd",11,7,4
4-hydroxyphenylacetate,4-hydroxyphenylacetate; hydroxyphenylacetate; 4-hydroxyphenylacetic acid,cpd:C00642,low,1.0,Query '4-hydroxyphenylacetate' -> cpd:C00642: 4-Hydroxyphenylacetate; 4-Hydroxyphenylacetic acid,10,8,6
"5,6-dihydrothymine","5,6-dihydrothymine; 5,dihydrothymine",,low,0.0,,0,0,0
hypoxanthine,hypoxanthine,cpd:C00262,low,1.0,Query 'hypoxanthine' -> cpd:C00262: Hypoxanthine; Purine-6-ol,10,11,3
guanine,guanine,cpd:C00242,low,1.0,Query 'guanine' -> cpd:C00242: Guanine; 2-Amino-6-hydroxypurine,7,9,3
"9,10-DiHOME","9,10-dihome; 9,dihome",,low,0.0,,0,0,0
linoleate (18:2n6),linoleate (18:2n6); linoleic acid (18:2n6),,low,0.0,,0,0,0
laurate (12:0),laurate (12:0); lauric acid (12:0),,low,0.0,,0,0,0
quinolinate,quinolinate; quinolinic acid,cpd:C03722,low,1.0,"Query 'quinolinate' -> cpd:C03722: Quinolinate; Pyridine-2,3-dicarboxylate; Quinolinic acid; 2,3-Pyridinedicarboxylic acid",4,2,7
"N6,N6,N6-trimethyllysine","n6,n6,n6-trimethyllysine; n6,n6,ntrimethyllysine",,low,0.0,,0,0,0
N-acetylputrescine,n-acetylputrescine; acetylputrescine,cpd:C02714,low,1.0,Query 'n-acetylputrescine' -> cpd:C02714: N-Acetylputrescine,3,3,2
N-formylmethionine,n-formylmethionine; formylmethionine,cpd:C03145,low,1.0,Query 'n-formylmethionine' -> cpd:C03145: N-Formylmethionine; N-Formyl-L-methionine,1,1,1
S-adenosylhomocysteine (SAH),s-adenosylhomocysteine (sah); adenosylhomocysteine (sah),,low,0.0,,0,0,0
5-methylthioadenosine (MTA),5-methylthioadenosine (mta); methylthioadenosine (mta),,low,0.0,,0,0,0
N6-methyladenosine,n6-methyladenosine; nmethyladenosine,,low,0.0,,0,0,0
arachidonate (20:4n6),arachidonate (20:4n6); arachidonic acid (20:4n6),,low,0.0,,0,0,0
arginine,arginine,cpd:C02385,low,0.9,Query 'arginine' -> cpd:C02385: Amino acid(Arg-); Arginine; 2-Amino-5-guanidinovaleric acid,2,1,0
ascorbate (vitamin C),ascorbate (vitamin c); ascorbic acid (vitamin c),,low,0.0,,0,0,0
aspartate,aspartate; aspartic acid,cpd:C16433,low,1.0,Query 'aspartate' -> cpd:C16433: Aspartate; Aspartic acid,0,0,0
