2026-04-16 10:38:39,470 - INFO - Device: cuda
2026-04-16 10:38:40,296 - INFO - Loaded Excel file: starting_template.csv
2026-04-16 10:38:40,296 - INFO - Raw data shape: (48, 1602)
2026-04-16 10:38:40,297 - INFO - Filtered samples: 36 (High: 26, Low: 10)
2026-04-16 10:38:40,298 - INFO - Groups found: Counter({'HZ_HL': 24, 'PHN': 12})
2026-04-16 10:38:40,299 - INFO - Excluding pain score column from features: 'Pain Score'
2026-04-16 10:38:40,467 - INFO - Identified 1592 metabolite columns
2026-04-16 10:38:40,670 - INFO - Excluded 268 xenobiotic metabolites, 1324 endogenous remaining
2026-04-16 10:38:40,670 - INFO - Excluded xenobiotics (first 10): ['gluconate', 'phytanate', 'salicylate', 'cotinine', 'caffeine', 'methyl indole-3-acetate', 'fluoxetine', '4-acetamidophenol', 'naproxen', 'ibuprofen']
2026-04-16 10:38:40,671 - INFO - Excluded 305 unidentified X- metabolites, 1019 identified endogenous remaining
2026-04-16 10:38:40,672 - INFO - Loaded: X=(36, 1019), y=(36,), mets=1019
2026-04-16 10:38:40,880 - INFO - Sub-pathways: 105 total, 81 with >= 3 members
2026-04-16 10:38:40,884 - INFO - Real sub-pathway scores: 105
2026-04-16 10:38:40,890 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:38:44,229 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:38:46,897 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:38:48,983 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:38:51,137 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:38:53,231 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:38:54,887 - INFO - perm 1/200 | auc=0.679 | elapsed=0.2m | ETA=46.4m
2026-04-16 10:38:54,893 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:38:56,447 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:38:58,795 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:39:01,653 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:39:03,697 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:39:05,289 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:39:06,955 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:39:09,423 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:39:10,908 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:39:12,411 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:39:14,376 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:39:16,242 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:39:18,092 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:39:20,259 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:39:22,813 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:39:24,947 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:39:27,052 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:39:28,595 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:39:30,234 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:39:32,867 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:39:34,970 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:39:36,468 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:39:38,488 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:39:40,144 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:39:41,716 - INFO - perm 5/200 | auc=0.679 | elapsed=1.0m | ETA=39.5m
2026-04-16 10:39:41,724 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:39:43,518 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:39:46,174 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:39:47,852 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:39:50,278 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:39:52,011 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:39:53,712 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:39:56,460 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:39:58,262 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:39:59,963 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:40:02,227 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:40:03,853 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:40:05,469 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:40:06,962 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:40:09,214 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:40:10,853 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:40:13,476 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:40:15,102 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:40:16,760 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:40:19,563 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:40:21,875 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:40:23,688 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:40:26,448 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:40:28,593 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:40:30,388 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:40:33,177 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:40:36,239 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:40:39,137 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:40:40,889 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:40:42,377 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:40:44,705 - INFO - perm 10/200 | auc=0.679 | elapsed=2.1m | ETA=39.2m
2026-04-16 10:40:44,711 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:40:46,297 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:40:48,894 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:40:50,415 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:40:52,342 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:40:53,977 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:40:55,642 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:40:57,298 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:40:59,900 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:41:02,391 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:41:04,287 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:41:05,936 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
2026-04-16 10:41:07,474 - INFO - Graph: 36 samples, 1019 metabolites, 966 enzymes
