metabolite,n_perms,null_mean,null_std,null_p95,null_max
S-1-pyrroline-5-carboxylate,200,0.0008690996370683101,0.00015501048456852433,0.0011363269771317846,0.0013768642666907647
spermidine,200,0.0009592711623687119,0.00016625637792194207,0.001253244423916899,0.0013937894042557785
1-methylnicotinamide,200,0.0009259955377182283,0.00016310291364295164,0.001204998710564976,0.0015584426329835488
"12,13-DiHOME",200,0.0009769628145273753,6.488485195419892e-05,0.0010905729467384712,0.001218396134190385
5-hydroxyindoleacetate,200,0.0007980492264704764,0.0001669103026752315,0.001068069315304605,0.0015268385480418727
alpha-ketoglutarate,200,0.0009711846208914801,0.0001546559781997175,0.001235610406605375,0.0013621488705676049
kynurenate,200,0.0008305268923229239,0.00013704267583107026,0.0010720257324087741,0.0011737086785063688
3-hydroxyisobutyrate,200,0.0008853974242779307,0.00014299197008531405,0.0011442058870379322,0.0012641340051476704
3-hydroxy-3-methylglutarate,200,0.0009320153485183049,0.00015461940813213187,0.0011865641129690128,0.0014415611151759626
homovanillate (HVA),200,0.0008904962726145566,0.00018375366724463854,0.0012547689567717936,0.0015883406611433574
cholate,200,0.0009462406418673642,0.00015407211457025394,0.0011814593666139067,0.00138792828420643
4-hydroxyphenylacetate,200,0.0009118058241826588,0.00014876617533358683,0.0011495497785403012,0.0013810137845408597
"5,6-dihydrothymine",200,0.001004260921492326,6.517085028954238e-05,0.0011207792052351881,0.0012041440246501932
hypoxanthine,200,0.0009179289286995853,0.00015288629307857657,0.001164068282661311,0.001341503629871206
guanine,200,0.0010863046331007955,0.00018133795562053968,0.0014056310901505158,0.001583963470371883
"9,10-DiHOME",200,0.0009881212231343554,7.113550964809963e-05,0.001100051433583777,0.0012474618091502122
linoleate (18:2n6),200,0.0009940138435410462,7.545160597881379e-05,0.0011274939117139422,0.0012032108607627444
laurate (12:0),200,0.0010260196479398324,7.896098300060258e-05,0.0011608577019913636,0.001275138987589146
quinolinate,200,0.0008553020921539667,0.00015750092751432303,0.0011204822503355942,0.0015762897804315894
"N6,N6,N6-trimethyllysine",200,0.0010079105841546288,7.308000170121519e-05,0.0011343989431798144,0.0012811050163147697
N-acetylputrescine,200,0.0009248194488537531,0.00015241060631624896,0.0011788043068979097,0.0014596352778660255
N-formylmethionine,200,0.0008500096462929907,0.00014507530807340285,0.0011143350644597363,0.0012719168387149082
S-adenosylhomocysteine (SAH),200,0.0009079602357341028,7.957274233946361e-05,0.0010420035228849945,0.0011612472951885021
5-methylthioadenosine (MTA),200,0.0009272717095557206,7.843002913225032e-05,0.0010695032076500836,0.0011842769596067282
N6-methyladenosine,200,0.000928095852665613,6.619758159144294e-05,0.0010441405057547105,0.0011176739133507147
arachidonate (20:4n6),200,0.0009926677697872806,7.03826398712461e-05,0.0010961290307193278,0.0011757525448340648
arginine,200,0.0009845166061020272,0.0001663187682342973,0.0012641595700113506,0.0013879386018317205
ascorbate (vitamin C),200,0.0011081293128047797,8.416162750940788e-05,0.0012351970691570934,0.0013490114948083124
aspartate,200,0.0010182360705697615,7.316541995642545e-05,0.00114942588500655,0.0012315385448580874
2-hydroxyphenylacetate,200,0.001008480421866827,0.00015955113409582019,0.0012830347193567935,0.0015252724001213987
3-(4-hydroxyphenyl)lactate,200,0.001061548007430104,7.629465052506972e-05,0.001179329886039346,0.001298296737054375
phenylpyruvate,200,0.001043879205754613,0.00016808159480366768,0.0013165887786411058,0.0014861342802403729
beta-alanine,200,0.0007999611004178677,0.00014277104392384124,0.001055132826078055,0.001233733449670112
biliverdin,200,0.0009715739585085521,0.00016905499680613286,0.0012649764002164853,0.001575608495765564
succinate,200,0.0009461409236683868,0.0001601534933180055,0.001206622198391091,0.001396413242569251
3-hydroxybutyrate (BHBA),200,0.0009581884233819707,8.828731331267266e-05,0.0011177377643244004,0.0012078824765096147
cholesterol,200,0.0009471315263050153,0.00015937975414128002,0.0012207543208619428,0.0014024858396914607
choline phosphate,200,0.000995349934660389,0.00016571981160568797,0.0012665107718981188,0.0013993197675239574
corticosterone,200,0.0009620347047210312,0.0001671778726147379,0.001253453203799209,0.001447019880204246
cortisone,200,0.0008825430331552886,0.0001568079459691242,0.0011425542578310185,0.0014459913012672893
creatinine,200,0.0008801680159561453,0.0001522028614686026,0.0011447154688187073,0.0014214002640291568
cysteinylglycine,200,0.0009282972840449334,0.00015181266088309245,0.0011695414469468429,0.001340590402805642
cystine,200,0.0009459874479049956,0.00015907560763306312,0.0012075590357089638,0.001513508909230225
sphingosine,200,0.0009417571276826128,0.0001528643447542851,0.0011891754945366592,0.0013748369040353838
deoxycholate,200,0.0009829493915676276,0.0001660998666780723,0.0012426822039924132,0.001463898940927203
cystathionine,200,0.0010153339763325122,0.0001711257524028412,0.0012774821179709335,0.0015493467171629758
sphinganine,200,0.0009587180234669806,0.00015117167320078894,0.0012104496350622293,0.0013453916513026885
behenate (22:0)*,200,0.0010355636732554921,6.444874122600553e-05,0.0011481506223410974,0.0012322967359546817
fumarate,200,0.0009286994192278992,0.00015363918246133568,0.0011875171825938167,0.0013124676753760638
gamma-glutamylglutamate,200,0.0009087227436316712,0.00016283778008311173,0.0012020110118265083,0.0014963234593114581
glutarate (C5-DC),200,0.000981826798508656,8.125400649883086e-05,0.0011346138191182095,0.0011831628948065305
