model,fold,auc,accuracy,f1
LogReg_L1,1,0.5,0.16666666666666666,0.0
LogReg_L1,2,0.5,0.16666666666666666,0.0
LogReg_L1,3,0.5,0.3333333333333333,0.0
LogReg_L1,4,0.5,0.3333333333333333,0.0
LogReg_L1,5,0.5,0.3333333333333333,0.0
LogReg_L1,6,0.5,0.3333333333333333,0.0
LogReg_L2,1,0.6,0.5,0.6666666666666666
LogReg_L2,2,0.8,0.8333333333333334,0.8888888888888888
LogReg_L2,3,0.375,0.6666666666666666,0.8
LogReg_L2,4,0.75,0.6666666666666666,0.8
LogReg_L2,5,0.375,0.5,0.5714285714285714
LogReg_L2,6,0.75,0.6666666666666666,0.8
RandomForest,1,0.4,0.8333333333333334,0.9090909090909091
RandomForest,2,0.8,0.6666666666666666,0.8
RandomForest,3,0.5,0.6666666666666666,0.8
RandomForest,4,0.375,0.6666666666666666,0.8
RandomForest,5,0.25,0.6666666666666666,0.8
RandomForest,6,0.4375,0.6666666666666666,0.8
