model,rank,metabolite,importance
LogReg_L1,1,S-1-pyrroline-5-carboxylate,0.0
LogReg_L1,2,1-oleyl-GPC (O-18:1)*,0.0
LogReg_L1,3,N-lactoyl valine,0.0
LogReg_L1,4,N-lactoyl tyrosine,0.0
LogReg_L1,5,N-lactoyl phenylalanine,0.0
LogReg_L1,6,N-lactoyl leucine,0.0
LogReg_L1,7,N-lactoyl isoleucine,0.0
LogReg_L1,8,tetrahydrocortisone glucuronide (5),0.0
LogReg_L1,9,oxindolylalanine,0.0
LogReg_L1,10,"N,N-dimethyl-pro-pro",0.0
LogReg_L1,11,"bilirubin degradation product, C16H18N2O5 (4)**",0.0
LogReg_L1,12,"bilirubin degradation product, C16H18N2O5 (3)**",0.0
LogReg_L1,13,tetrahydrocortisol glucuronide,0.0
LogReg_L1,14,"bilirubin degradation product, C17H20N2O5 (2)**",0.0
LogReg_L1,15,"bilirubin degradation product, C17H20N2O5 (1)**",0.0
LogReg_L1,16,"bilirubin degradation product, C17H18N2O4 (3)**",0.0
LogReg_L1,17,"bilirubin degradation product, C17H18N2O4 (2)**",0.0
LogReg_L1,18,"bilirubin degradation product, C17H18N2O4 (1)**",0.0
LogReg_L1,19,"bilirubin degradation product, C16H18N2O5 (2)**",0.0
LogReg_L1,20,"bilirubin degradation product, C16H18N2O5 (1)**",0.0
LogReg_L1,21,"cis-3,4-methyleneheptanoylglycine",0.0
LogReg_L1,22,3-hydroxyoctanoylcarnitine (2),0.0
LogReg_L1,23,3-hydroxyoctanoylcarnitine (1),0.0
LogReg_L1,24,N-acetyl-2-aminoadipate,0.0
LogReg_L1,25,"cis-3,4-methyleneheptanoylcarnitine",0.0
LogReg_L1,26,"cis-3,4-methyleneheptanoate",0.0
LogReg_L1,27,GlcNAc sulfate conjugate of C21H34O2 steroid**,0.0
LogReg_L1,28,cortisone,0.0
LogReg_L1,29,corticosterone,0.0
LogReg_L1,30,choline phosphate,0.0
LogReg_L2,1,octadecadienedioate (C18:2-DC)*,0.060633396625003534
LogReg_L2,2,"fibrinopeptide A, phosphono-ser(3)*",0.0516660713124914
LogReg_L2,3,3-methylhistidine,0.05102036536748326
LogReg_L2,4,campesterol,0.04903749092974013
LogReg_L2,5,methylmalonate (MMA),0.04831440211745672
LogReg_L2,6,4-guanidinobutanoate,0.04748276211826661
LogReg_L2,7,2-hydroxyarachidate*,0.046715997483078774
LogReg_L2,8,S-methylmethionine,0.044553838196929256
LogReg_L2,9,1-linoleoyl-GPG (18:2)*,0.04364942707891276
LogReg_L2,10,prolylglycine,0.04298102085233371
LogReg_L2,11,"9,10-DiHOME",0.041607404689417336
LogReg_L2,12,"12,13-DiHOME",0.04160654401435335
LogReg_L2,13,N-formylanthranilic acid,0.041497845201113534
LogReg_L2,14,1-palmitoyl-GPA (16:0),0.04135976438692585
LogReg_L2,15,imidazole propionate,0.04059367648304882
LogReg_L2,16,glucuronide of C12H22O4 (2)*,0.04058748944045518
LogReg_L2,17,1-oleoyl-GPG (18:1)*,0.0405317212243884
LogReg_L2,18,branched chain 14:0 dicarboxylic acid**,0.03961946581239407
LogReg_L2,19,hypoxanthine,0.037710144482992695
LogReg_L2,20,3beta-hydroxy-5-cholenoate,0.037467197609434004
LogReg_L2,21,13-HODE + 9-HODE,0.03742251241597875
LogReg_L2,22,1-eicosapentaenoylglycerol (20:5)*,0.036962433598878734
LogReg_L2,23,ascorbate (vitamin C),0.03694360880608805
LogReg_L2,24,1-oleoyl-2-docosapentaenoyl-GPC (18:1/22:5n3)*,0.03649136418055161
LogReg_L2,25,androsterone glucuronide,0.03620305533641171
LogReg_L2,26,homovanillate (HVA),0.03617057213784853
LogReg_L2,27,methionine sulfone,0.03607014569878886
LogReg_L2,28,octadecenedioate (C18:1-DC),0.03603200996246956
LogReg_L2,29,tyrosine,0.035518627918457536
LogReg_L2,30,citrulline,0.03551674993302196
RandomForest,1,3-methylhistidine,0.010840964896896206
RandomForest,2,tyrosine,0.009839892251561596
RandomForest,3,octadecadienedioate (C18:2-DC)*,0.008944568532007981
RandomForest,4,"9,10-DiHOME",0.00865405707029753
RandomForest,5,palmitoyl dihydrosphingomyelin (d18:0/16:0)*,0.007930897063498315
RandomForest,6,N-delta-acetylornithine,0.006711322084781143
RandomForest,7,uridine,0.006616248233314088
RandomForest,8,1-stearoyl-2-docosapentaenoyl-GPE (18:0/22:5n3)*,0.0063861769433453085
RandomForest,9,S-methylmethionine,0.005937542732762226
RandomForest,10,alpha-ketobutyrate,0.005659705514064789
RandomForest,11,"3beta,7alpha-dihydroxy-5-cholestenoate",0.005519141309818396
RandomForest,12,2-hydroxyarachidate*,0.005503395802793714
RandomForest,13,2-ketocaprylate,0.005094590086632073
RandomForest,14,1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*,0.004974327996375811
RandomForest,15,fibrinopeptide B (1-11)**,0.004921102121113963
RandomForest,16,2-hydroxysebacate,0.004456393020922102
RandomForest,17,1-myristoyl-2-palmitoyl-GPC (14:0/16:0),0.00443006031437996
RandomForest,18,4-guanidinobutanoate,0.00440193015325262
RandomForest,19,1-stearoyl-2-adrenoyl-GPE (18:0/22:4)*,0.004358276704679722
RandomForest,20,glucuronide of C12H22O4 (2)*,0.004295734821548246
RandomForest,21,N-acetylglutamate,0.0042596049357910845
RandomForest,22,glycerate,0.004163875351871569
RandomForest,23,pregnenediol sulfate (C21H34O5S)*,0.004007590901145668
RandomForest,24,prolylglycine,0.003942271853400372
RandomForest,25,glucuronide of C12H22O4 (1)*,0.0038758698860365155
RandomForest,26,1-oleoyl-GPG (18:1)*,0.00382408413629038
RandomForest,27,1-stearoyl-GPE (18:0),0.0037749327842763174
RandomForest,28,"12,13-DiHOME",0.003626831859106991
RandomForest,29,alpha-ketoglutaramate*,0.003593440710396145
RandomForest,30,pyruvate,0.003564941666570419
