metabolite,mean_abs_ig
"androstenediol (3beta,17beta) monosulfate (1)",3.9803925e-09
"5alpha-androstan-3beta,17alpha-diol disulfate",3.8505994e-09
"androstenediol (3alpha, 17alpha) monosulfate (2)",3.8397427e-09
dehydroepiandrosterone sulfate (DHEA-S),3.782564e-09
L-urobilin,3.7092514e-09
1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*,3.6623276e-09
pregnenediol sulfate (C21H34O5S)*,3.5504166e-09
cysteine-glutathione disulfide,3.5255552e-09
gamma-glutamylcitrulline*,3.4709475e-09
"3beta,7alpha-dihydroxy-5-cholestenoate",3.4670309e-09
tauro-beta-muricholate,3.4513208e-09
indolepropionate,3.3701717e-09
pregnenediol disulfate (C21H34O8S2)*,3.3627754e-09
1-palmityl-2-palmitoyl-GPC (O-16:0/16:0)*,3.359486e-09
pentose acid*,3.348358e-09
octadecenedioate (C18:1-DC),3.3356824e-09
cyclo(pro-val),3.3317664e-09
2-arachidonoyl-GPC (20:4)*,3.2920506e-09
"androstenediol (3beta,17beta) monosulfate (2)",3.2789467e-09
citraconate/glutaconate,3.269986e-09
histidylalanine,3.2295826e-09
octadecadienedioate (C18:2-DC)*,3.2252114e-09
1-arachidonoyl-GPC (20:4n6)*,3.189166e-09
pregnenetriol sulfate*,3.1873197e-09
"5alpha-pregnan-3beta,20alpha-diol monosulfate (2)",3.1859038e-09
"branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (2)*",3.179842e-09
phenol sulfate,3.1690413e-09
1-arachidonylglycerol (20:4),3.1685756e-09
"1,2-dipalmitoyl-GPE (16:0/16:0)*",3.149968e-09
lactosyl-N-behenoyl-sphingosine (d18:1/22:0)*,3.149861e-09
"5alpha-pregnan-3beta,20alpha-diol disulfate",3.1312688e-09
5-hydroxyindole sulfate,3.1282146e-09
tryptophan,3.1089156e-09
2-arachidonoyl-GPE (20:4)*,3.1062228e-09
2-oleoyl-GPE (18:1)*,3.105646e-09
gamma-CEHC,3.1030405e-09
1-eicosenoyl-GPE (20:1)*,3.0987855e-09
"5alpha-androstan-3alpha,17beta-diol monosulfate (1)",3.094037e-09
tyramine O-sulfate,3.0923766e-09
1-dihomo-linolenoyl-GPE (20:3n3 or 6)*,3.0802074e-09
prolylproline,3.0738008e-09
azeloyltaurine,3.0671672e-09
2-arachidonoylglycerol (20:4),3.0657301e-09
21-hydroxypregnenolone disulfate,3.0621163e-09
1-dihomo-linolenylglycerol (20:3),3.048053e-09
"ceramide (d18:1/14:0, d16:1/16:0)*",3.0410128e-09
"5,6-dihydrouracil",3.0390388e-09
hexadecenedioate (C16:1-DC)*,3.0312062e-09
