enzyme_id,n_loso_runs,n_times_in_top30,stability_rate
ec:3.5.1.24,36,36,1.0
ec:2.4.2.1,36,36,1.0
ec:2.8.2.14,36,36,1.0
ec:3.2.2.1,36,36,1.0
ec:3.1.3.5,36,36,1.0
ec:1.2.1.3,36,36,1.0
ec:1.2.3.1,36,36,1.0
ec:2.6.1.1,36,36,1.0
ec:2.3.1.65,36,36,1.0
ec:1.4.3.2,36,36,1.0
ec:4.1.1.15,36,36,1.0
ec:1.17.3.2,36,36,1.0
ec:3.1.6.2,36,36,1.0
ec:2.8.2.2,36,36,1.0
ec:2.4.2.2,36,36,1.0
ec:2.3.1.14,36,36,1.0
ec:2.1.4.1,36,36,1.0
ec:6.3.2.11,36,36,1.0
ec:3.4.13.20,36,36,1.0
ec:2.5.1.48,36,36,1.0
ec:3.1.3.6,36,36,1.0
ec:2.1.1.162,36,36,1.0
ec:2.4.2.4,36,36,1.0
ec:1.17.1.4,36,36,1.0
ec:3.2.1.22,36,36,1.0
ec:1.2.1.5,36,36,1.0
ec:1.3.1.3,36,35,0.9722222222222222
ec:3.2.2.8,36,35,0.9722222222222222
ec:1.14.99.64,36,35,0.9722222222222222
ec:1.14.15.24,36,35,0.9722222222222222
