removed_sample_idx,removed_sample_id,removed_label,auc,top30_overlap_with_full,top30_churn
0,Ph1,1,0.8333333333333334,30,0
1,Ph2,1,0.7708333333333334,29,1
2,Ph3,1,0.8333333333333334,30,0
3,Ph4,1,0.8624999999999999,30,0
4,Ph5,0,0.8041666666666667,30,0
5,Ph6,0,0.8166666666666668,30,0
6,Ph7,1,0.9249999999999999,30,0
7,Ph8,1,0.8208333333333333,30,0
8,Ph9,1,0.8208333333333333,30,0
9,Ph10,1,0.8416666666666667,30,0
10,Ph11,1,0.9041666666666667,30,0
11,Ph12,1,0.9041666666666667,30,0
12,HZh1,1,0.8833333333333333,30,0
13,HZh2,1,0.9166666666666666,30,0
14,HZh3,1,0.9375,30,0
15,HZh4,1,0.9041666666666667,30,0
16,HZh5,1,0.8833333333333333,30,0
17,HZh6,1,0.8833333333333333,30,0
18,HZh7,1,0.8416666666666667,30,0
19,HZh8,1,0.8624999999999999,30,0
20,HZh9,1,0.8416666666666667,30,0
21,HZh10,1,0.7999999999999999,30,0
22,HZh11,1,0.8208333333333333,28,2
23,HZh12,1,0.8208333333333333,30,0
24,HZl3,1,0.7791666666666667,29,1
25,HZl9,1,0.8208333333333333,30,0
26,HZl11,1,0.7999999999999999,30,0
27,HZl12,1,0.8208333333333333,30,0
28,HZl1,0,0.8291666666666666,30,0
29,HZl2,0,0.85,30,0
30,HZl4,0,0.9125,30,0
31,HZl5,0,0.725,30,0
32,HZl6,0,0.725,30,0
33,HZl7,0,0.8416666666666667,30,0
34,HZl8,0,0.7666666666666666,30,0
35,HZl10,0,0.6916666666666668,30,0
