enzyme_id,category
ec:1.14.15.24,shared_with_confounder
ec:1.14.99.64,shared_with_confounder
ec:1.17.1.4,shared_with_confounder
ec:1.17.3.2,shared_with_confounder
ec:1.2.1.3,shared_with_confounder
ec:1.2.1.5,shared_with_confounder
ec:1.2.3.1,shared_with_confounder
ec:1.3.1.3,shared_with_confounder
ec:1.4.3.2,shared_with_confounder
ec:2.1.1.162,shared_with_confounder
ec:2.1.4.1,shared_with_confounder
ec:2.3.1.14,shared_with_confounder
ec:2.3.1.65,shared_with_confounder
ec:2.4.2.1,shared_with_confounder
ec:2.4.2.2,shared_with_confounder
ec:2.4.2.4,shared_with_confounder
ec:2.5.1.48,shared_with_confounder
ec:2.6.1.1,shared_with_confounder
ec:2.8.2.14,shared_with_confounder
ec:2.8.2.2,shared_with_confounder
ec:3.1.3.5,shared_with_confounder
ec:3.1.3.6,shared_with_confounder
ec:3.1.6.2,shared_with_confounder
ec:3.2.1.22,shared_with_confounder
ec:3.2.2.1,shared_with_confounder
ec:3.2.2.8,shared_with_confounder
ec:3.4.13.20,shared_with_confounder
ec:3.5.1.24,shared_with_confounder
ec:4.1.1.15,shared_with_confounder
ec:6.3.2.11,shared_with_confounder
