enzyme_id,metabolite,p_value,q_value,log2_fc,significant_fdr
ec:3.5.1.24,glycocholate,0.014102555152055654,0.9423400569916458,,False
ec:3.5.1.24,glycodeoxycholate,0.12445067296309024,0.9423400569916458,,False
ec:3.5.1.24,chenodeoxycholate,0.6709966145155143,0.9729850399805074,0.8707799567124594,False
ec:3.5.1.24,taurodeoxycholate,0.22303759590429784,0.9423400569916458,,False
ec:3.5.1.24,deoxycholate,0.05424663032211395,0.9423400569916458,,False
ec:2.4.2.1,adenine,0.49100447494643173,0.9729850399805074,-2.8420655952070564,False
ec:2.4.2.1,guanosine,0.36778854364654867,0.9729850399805074,,False
ec:2.4.2.1,xanthine,0.3868714529706392,0.9729850399805074,,False
ec:2.4.2.1,nicotinamide,0.8184253829049983,0.9999454876780615,0.21650436352025973,False
ec:2.4.2.1,xanthosine,0.5374553033624021,0.9729850399805074,0.0,False
ec:2.8.2.14,cholesterol,0.6085675623751094,0.9729850399805074,0.2934740349541622,False
ec:2.8.2.14,lithocholic acid sulfate (2),0.10354492647503748,0.9423400569916458,1.22745883020458,False
ec:2.8.2.14,glycolithocholate,0.81819533627615,0.9999454876780615,2.9684407291096364,False
ec:2.8.2.14,cholesterol sulfate,0.28138363382400566,0.9525911058693082,,False
ec:2.8.2.14,taurolithocholate 3-sulfate,0.6588640171930575,0.9729850399805074,,False
ec:3.2.2.1,adenine,0.49100447494643173,0.9729850399805074,-2.8420655952070564,False
ec:3.2.2.1,guanosine,0.36778854364654867,0.9729850399805074,,False
ec:3.2.2.1,xanthine,0.3868714529706392,0.9729850399805074,,False
ec:3.2.2.1,xanthosine,0.5374553033624021,0.9729850399805074,0.0,False
ec:3.2.2.1,guanine,0.6922098093806455,0.9813784769748872,-2.110883084423643,False
ec:3.1.3.5,guanosine,0.36778854364654867,0.9729850399805074,,False
ec:3.1.3.5,cytidine,0.12309200453276387,0.9423400569916458,,False
ec:3.1.3.5,xanthosine,0.5374553033624021,0.9729850399805074,0.0,False
ec:3.1.3.5,uridine,0.20991137719550346,0.9423400569916458,-1.735602315307165,False
ec:3.1.3.5,2'-deoxyuridine,0.3314185132368468,0.9729850399805074,,False
ec:1.2.1.3,5-hydroxyindoleacetate,0.09794735571532379,0.9423400569916458,0.5121243641372847,False
ec:1.2.1.3,4-imidazoleacetate,0.41406905464038435,0.9729850399805074,-1.0137765022377876,False
ec:1.2.1.3,beta-alanine,0.9859106622290967,1.0,-1.3887251682793467,False
ec:1.2.1.3,indoleacetate,0.5365259402507443,0.9729850399805074,1.1985536075763596,False
ec:1.2.1.3,glycerate,0.10805549890244624,0.9423400569916458,,False
ec:1.2.3.1,5-hydroxyindoleacetate,0.09794735571532379,0.9423400569916458,0.5121243641372847,False
ec:1.2.3.1,gentisate,0.18524169314826455,0.9423400569916458,,False
ec:1.2.3.1,pyridoxal,0.10796475472606623,0.9423400569916458,,False
ec:1.2.3.1,1-methylnicotinamide,0.14272442705065408,0.9423400569916458,,False
ec:1.2.3.1,N1-methyl-2-pyridone-5-carboxamide,0.1526016731261508,0.9423400569916458,,False
ec:2.6.1.1,cysteine sulfinic acid,0.4015019525178116,0.9729850399805074,,False
