metabolite,median_high,median_low,log2_fc,wilcoxon_stat,p_value,q_value,significant_fdr
octadecadienedioate (C18:2-DC)*,-0.1986410915851593,0.5745351314544678,,46.0,0.0031870039102465746,0.9423400569916458,False
4-guanidinobutanoate,-1.6525285243988037,0.10985535383224487,,54.0,0.0034006738872769046,0.9423400569916458,False
gamma-glutamyltyrosine,-0.06382730603218079,0.22926241159439087,,48.0,0.0039961778248202495,0.9423400569916458,False
1-oleoyl-GPG (18:1)*,-0.09753592312335968,0.3565801680088043,,51.0,0.0055626222168733185,0.9423400569916458,False
3-methylhistidine,-0.49195000529289246,1.1202822923660278,,51.0,0.0055626222168733185,0.9423400569916458,False
methylmalonate (MMA),-0.06858782470226288,0.2648957371711731,,52.0,0.006196667635960281,0.9423400569916458,False
"12,13-DiHOME",-0.3001706898212433,0.8146145343780518,,56.0,0.00941561004065529,0.9423400569916458,False
1-linoleoyl-GPG (18:2)*,-0.14859358966350555,0.18888884782791138,,58.0,0.011560692434969912,0.9423400569916458,False
prolylglycine,-0.04759801924228668,0.7245625853538513,,59.0,0.012775781590715553,0.9423400569916458,False
1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*,-0.08681297302246094,0.21921882033348083,,60.0,0.014102555152055654,0.9423400569916458,False
glycocholate,-0.46770942211151123,0.6871382594108582,,60.0,0.014102555152055654,0.9423400569916458,False
N-acetylglutamate,-0.05601786449551582,0.309438556432724,,60.0,0.014102555152055654,0.9423400569916458,False
S-methylmethionine,-2.171428918838501,1.1386511325836182,,63.0,0.014760998668174735,0.9423400569916458,False
"9,10-DiHOME",-0.15941275656223297,1.0979992151260376,,61.0,0.015482976793706303,0.9423400569916458,False
2-ketocaprylate,-0.11739285290241241,0.2771459221839905,,62.0,0.01712544685800667,0.9423400569916458,False
glucuronide of C12H22O4 (2)*,-1.541029453277588,-0.20499932765960693,2.910203353349652,70.0,0.018932543822924842,0.9423400569916458,False
2-hydroxydecanoate,-0.13178673386573792,0.4737817049026489,,64.0,0.020702513477289738,0.9423400569916458,False
1-linolenoyl-GPE (18:3)*,-0.3099716007709503,0.27836352586746216,,64.0,0.020702513477289738,0.9423400569916458,False
campesterol,-0.32614201307296753,-0.626707136631012,-0.942291123490771,191.0,0.0207119314884466,0.9423400569916458,False
hexadecanedioate (C16-DC),-0.12238236516714096,0.4882606267929077,,65.0,0.02272373949441971,0.9423400569916458,False
2-hydroxyarachidate*,-0.03396761044859886,0.5482320189476013,,65.0,0.02272373949441971,0.9423400569916458,False
1-eicosapentaenoyl-GPE (20:5)*,-0.372977077960968,0.23240722715854645,,66.0,0.02490497930460048,0.9423400569916458,False
1-methyl-5-imidazolelactate,-0.4283875823020935,0.19534100592136383,,66.0,0.02490497930460048,0.9423400569916458,False
octadecenedioate (C18:1-DC),-0.16181260347366333,0.26330870389938354,,67.0,0.027285393362658762,0.9423400569916458,False
2-aminooctanoate,-0.26151102781295776,0.13927409052848816,,67.0,0.027285393362658762,0.9423400569916458,False
branched chain 14:0 dicarboxylic acid**,-0.8993858098983765,0.4416365623474121,,68.0,0.028592358723064204,0.9423400569916458,False
tyrosine,-0.03912845253944397,0.19307789206504822,,68.0,0.029848729288056455,0.9423400569916458,False
gamma-glutamylphenylalanine,-0.0982118770480156,0.13504363596439362,,68.0,0.029848729288056455,0.9423400569916458,False
phenylacetylglycine,-1.0853310823440552,0.20777307450771332,,72.0,0.029955654044078905,0.9423400569916458,False
4-hydroxyphenylpyruvate,-0.14624804258346558,0.2522713243961334,,69.0,0.032616429451231124,0.9423400569916458,False
1-palmitoyl-2-eicosapentaenoyl-GPC (16:0/20:5)*,-0.07944421470165253,0.27829739451408386,,70.0,0.03560106200287615,0.9423400569916458,False
1-stearoyl-2-docosapentaenoyl-GPE (18:0/22:5n3)*,0.08614645153284073,-0.33645233511924744,,190.0,0.03560106200287615,0.9423400569916458,False
1-linolenoyl-GPC (18:3)*,-0.18732625246047974,0.34074342250823975,,70.0,0.03560106200287615,0.9423400569916458,False
