metabolite,sparse_score
glucuronide of C10H18O2 (7)*,0.0010861318485192435
"1,2-dipalmitoyl-GPE (16:0/16:0)*",0.0010801582995833559
1-oleoyl-GPA (18:1),0.001077068849649205
1-palmitoyl-2-stearoyl-GPE (16:0/18:0)*,0.0010745359560952973
3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)**,0.0010737011724636458
3-methylglutarylcarnitine (2),0.0010715866725202563
pyroglutamylvaline,0.001070289721943891
sphinganine-1-phosphate,0.0010689293187104703
dodecanedioate (C12-DC),0.0010687589456944424
1-ribosyl-imidazoleacetate*,0.0010685318269519283
16alpha-hydroxy DHEA 3-sulfate,0.0010679722821671787
oleoyl-oleoyl-glycerol (18:1/18:1) [2]*,0.0010674729978801248
ribonate,0.0010663161627241563
erythronate*,0.0010645899855709357
imidazole lactate,0.0010627605896052345
3-hydroxy-3-methylglutarate,0.0010615393339566599
"bilirubin (Z,Z)",0.001061097763231643
indoleacetate,0.0010610920071570532
indoleacetylglutamine,0.0010594776744384125
oleoyl-arachidonoyl-glycerol (18:1/20:4) [2]*,0.0010592932253579751
xanthine,0.0010589513416946585
methylsuccinate,0.0010586699902021747
pro-hydroxy-pro,0.001058453789323853
alpha-ketoglutaramate*,0.0010581959205781472
"5,6-dihydrouridine",0.0010561497973674207
palmitoyl-linoleoyl-glycerol (16:0/18:2) [2]*,0.001055966910407521
1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*,0.0010557179729161932
campesterol,0.0010554963385751319
myristoleate (14:1n5),0.0010554564875218512
cytidine,0.0010551755944777862
palmitoleoyl-arachidonoyl-glycerol (16:1/20:4) [2]*,0.0010547209664626233
3-hydroxyadipate,0.001054074095743906
"bilirubin (E,E)*",0.001053372075378382
palmitoyl-oleoyl-glycerol (16:0/18:1) [2]*,0.0010532786198192614
oleoyl-oleoyl-glycerol (18:1/18:1) [1]*,0.0010525959561647471
adrenoylcarnitine (C22:4)*,0.0010521527723804794
heptenedioate (C7:1-DC)*,0.0010508290110614086
andro steroid monosulfate C19H28O6S (1)*,0.0010504119248778622
1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*,0.0010499580269842548
alpha-CEHC glucuronide*,0.0010492200099280812
gulonate*,0.001048197890688912
palmitoyl-oleoyl-glycerol (16:0/18:1) [1]*,0.0010480595581234765
guanidinosuccinate,0.001047986630865769
3-sulfo-alanine,0.0010475051072100453
imidazole propionate,0.0010467587022457675
N4-acetylcytidine,0.0010464437481821538
1-palmitoyl-2-palmitoleoyl-GPE (16:0/16:1)*,0.0010445957765657112
dimethylarginine (SDMA + ADMA),0.0010442982605215775
"3,4-dihydroxybutyrate",0.0010439157277651403
1-(1-enyl-palmitoyl)-GPC (P-16:0)*,0.0010435412433253864
myristoylcarnitine (C14),0.0010435116139738848
"N,N,N-trimethyl-5-aminovalerate",0.0010432246592229507
butyrate/isobutyrate (4:0),0.0010431799010736337
orotidine,0.0010427648694181855
"5,6-dihydrothymine",0.001042648151846711
lactosyl-N-palmitoyl-sphingosine (d18:1/16:0),0.001042099355130443
2-hydroxyglutarate,0.0010419010167608774
tauro-beta-muricholate,0.001041462009951091
"hydroxy-N6,N6,N6-trimethyllysine*",0.001041455965223793
trans-4-hydroxyproline,0.0010413086165061243
palmitoyl-linoleoyl-glycerol (16:0/18:2) [1]*,0.0010395777020525776
5-oxoproline,0.0010391207138770373
1-oleoylglycerol (18:1),0.001038931850108124
3-hydroxysebacate,0.0010382728389960979
octanoylcarnitine (C8),0.001038063039416066
caprylate (8:0),0.0010380329346365744
"cis-3,4-methyleneheptanoylglycine",0.001037764317822387
N-acetylglucosamine conjugate of C24H40O4 bile acid**,0.0010374981970051452
pimeloylcarnitine/3-methyladipoylcarnitine (C7-DC),0.0010371341889607358
cholate,0.0010368232250963217
laurate (12:0),0.0010366639057810545
4-methylhexanoylglutamine,0.0010365982797389032
glucuronide of C10H18O2 (8)*,0.0010365416358898431
glucuronide of C10H18O2 (1)*,0.0010364165134306934
mead acid (20:3n9),0.0010360575992576025
androsterone glucuronide,0.0010356143475550505
homocitrulline,0.0010356137193109215
N-acetylalanine,0.001035601137448765
vanillic alcohol sulfate,0.0010352648061051854
laurylcarnitine (C12),0.0010350860961197666
glutarate (C5-DC),0.0010348051860961307
1-stearyl-2-arachidonoyl-GPC (O-18:0/20:4)*,0.0010345732281758638
stearoyl-arachidonoyl-glycerol (18:0/20:4) [1]*,0.001034369184670422
stearoylcarnitine (C18),0.0010343643794518114
pimelate (C7-DC),0.0010341090576417647
"diacylglycerol (12:0/18:1, 14:0/16:1, 16:0/14:1) [2]*",0.0010337261683143353
N-acetylglutamine,0.0010333347722218044
acisoga,0.0010333178435894563
N1-methyladenosine,0.001032975195845442
dimethylglycine,0.0010326771024958923
azeloyltaurine,0.001032588503094095
fructosyllysine,0.0010320330334064
2-hydroxyheptanoate*,0.001031912597308863
"bilirubin degradation product, C17H18N2O4 (1)**",0.0010316311778980952
citraconate/glutaconate,0.0010315989167130788
