enzyme_id,enzyme_name,enzyme_score,score_std,supporting_metabolites,reactions,pathways,evidence_counts,selection_frequency
ec:2.4.2.1,purine-nucleoside phosphorylase,5.849215443128953e-05,3.785678182705925e-05,guanine; adenine; adenosine; nicotinamide; inosine,R01561: Adenosine + Orthophosphate <=> Adenine + alpha-D-Ribose 1-phosphate; R02557: Deoxyadenosine + Orthophosphate <=> Adenine + 2-Deoxy-D-ribose 1-phosphate; R02748: Deoxyinosine + Orthophosphate <=> Hypoxanthine + 2-Deoxy-D-ribose 1-phosphate,path:map02010; path:map04080; path:map04977,9,6
ec:3.2.2.1,purine nucleosidase,5.30789809507639e-05,3.4027388265045445e-05,guanine; adenine; adenosine; inosine; guanosine,R01245: Adenosine + H2O <=> Adenine + D-Ribose; R01770: Inosine + H2O <=> Hypoxanthine + D-Ribose; R02143: Xanthosine + H2O <=> Xanthine + D-Ribose,path:map02010; path:map04080; path:map01065,8,6
ec:3.5.1.24,choloylglycine hydrolase,5.1825882364331366e-05,3.222822388957652e-05,taurodeoxycholate; chenodeoxycholate; glycodeoxycholate; taurocholate; glycochenodeoxycholate,R04487: Taurodeoxycholate + H2O <=> Deoxycholic acid + Taurine; R02797: Taurocholate + H2O <=> Cholic acid + Taurine; R03977: Taurochenodeoxycholate + H2O <=> Chenodeoxycholate + Taurine,path:map02010; path:map04080; path:map00430,10,6
ec:3.1.3.5,5'-nucleotidase,4.964329760309232e-05,3.158072678403608e-05,adenosine; 2'-deoxyuridine; inosine; phosphate; uridine,R01126: IMP + H2O <=> Inosine + Orthophosphate; R02102: dUMP + H2O <=> Deoxyuridine + Orthophosphate; R02719: Xanthosine 5'-phosphate + H2O <=> Xanthosine + Orthophosphate,path:map02010; path:map04080; path:map01065,8,6
ec:2.8.2.14,bile-salt sulfotransferase,4.3976175993773415e-05,2.844711418152237e-05,lithocholate sulfate (1); taurolithocholate 3-sulfate; lithocholic acid sulfate (2); glycolithocholate; cholesterol,"R03987: 3'-Phosphoadenylyl sulfate + Taurolithocholate <=> Adenosine 3',5'-bisphosphate + Taurolithocholate sulfate; R08977: Cholesterol + 3'-Phosphoadenylyl sulfate <=> Cholesterol sulfate + Adenosine 3',5'-bisphosphate; R07287: 3'-Phosphoadenylyl sulfate + Glycolithocholate <=> Adenosine 3',5'-bisphosphate + Sulfoglycolithocholate",path:map00996; path:map04977; path:map05217,8,6
ec:1.2.1.3,aldehyde dehydrogenase (NAD+),3.611974376734112e-05,2.2122597772167265e-05,4-imidazoleacetate; ethylmalonate; 4-acetamidobutanoate; indoleacetate; glycerate,R00904: 3-Aminopropanal + NAD+ + H2O <=> beta-Alanine + NADH + H+; R01752: D-Glyceraldehyde + NAD+ + H2O <=> D-Glycerate + NADH + H+; R04065: Imidazole-4-acetaldehyde + NAD+ + H2O <=> Imidazole-4-acetate + NADH + H+,path:map00997; path:map00630; path:map01200,8,6
ec:2.6.1.1,aspartate transaminase,3.309766713855396e-05,2.1122554133454622e-05,4-hydroxyphenylpyruvate; glutamate; alpha-ketoglutarate; tyrosine; cysteine sulfinic acid,R00694: L-Phenylalanine + 2-Oxoglutarate <=> Phenylpyruvate + L-Glutamate; R02619: 3-Sulfino-L-alanine + 2-Oxoglutarate <=> 3-Sulfinylpyruvate + L-Glutamate; R00734: L-Tyrosine + 2-Oxoglutarate <=> 3-(4-Hydroxyphenyl)pyruvate + L-Glutamate,path:map00360; path:map04068; path:map01070,6,6
ec:3.1.6.2,steryl-sulfatase,3.091589868853581e-05,2.089475863666771e-05,androsterone sulfate; cholesterol; epiandrosterone sulfate; pregnenolone sulfate; cholesterol sulfate,R03404: Dehydroepiandrosterone sulfate + H2O <=> Dehydroepiandrosterone + Sulfate; R08941: Cholesterol + Sulfate <=> Cholesterol sulfate + H2O; R08942: Pregnenolone + Sulfate <=> 3beta-Hydroxypregn-5-en-20-one sulfate + H2O,path:map00996; path:map04977; path:map05217,5,6
ec:2.8.2.2,alcohol sulfotransferase,3.091589868853581e-05,2.089475863666771e-05,androsterone sulfate; cholesterol; epiandrosterone sulfate; pregnenolone sulfate; cholesterol sulfate,"R08977: Cholesterol + 3'-Phosphoadenylyl sulfate <=> Cholesterol sulfate + Adenosine 3',5'-bisphosphate; R08978: Pregnenolone + 3'-Phosphoadenylyl sulfate <=> 3beta-Hydroxypregn-5-en-20-one sulfate + Adenosine 3',5'-bisphosphate; R03405: 3'-Phosphoadenylyl sulfate + Dehydroepiandrosterone <=> Adenosine 3',5'-bisphosphate + Dehydroepiandrosterone sulfate",path:map00996; path:map04977; path:map05217,5,6
ec:1.2.3.1,aldehyde oxidase,2.994424567867659e-05,1.7291278924234788e-05,ethylmalonate; pyridoxal; gentisate; 1-methylnicotinamide; N1-methyl-2-pyridone-5-carboxamide,"R01709: Pyridoxal + Oxygen + H2O <=> 4-Pyridoxate + Hydrogen peroxide; R03871: Methylmalonate + Hydrogen peroxide <=> (S)-Methylmalonate semialdehyde + Oxygen + H2O; R02657: 2,5-Dihydroxybenzoate + Hydrogen peroxide <=> Gentisate aldehyde + Oxygen + H2O",path:map00380; path:map00362; path:map01120,7,6
