enzyme_id,enzyme_name,enzyme_score,degree,n_reactions,single_rxn_id,equation
ec:1.3.98.1,dihydroorotate dehydrogenase (fumarate),2.19525545103954e-06,2,1,R01867,
ec:3.5.1.111,2-oxoglutaramate amidase,2.131514616576585e-06,2,1,R00269,
ec:1.2.3.8,pyridoxal oxidase,1.82273105845396e-06,2,1,R01709,Pyridoxal + Oxygen + H2O <=> 4-Pyridoxate + Hydrogen peroxide
ec:2.1.1.8,histamine N-methyltransferase,1.5551185283834025e-06,1,1,R02155,
ec:2.3.3.6,2-ethylmalate synthase,1.3069884013600304e-06,1,1,R00998,
ec:3.5.99.7,1-aminocyclopropane-1-carboxylate deaminase,1.3069884013600304e-06,1,1,R00997,
ec:3.5.1.135,N4-acetylcytidine amidohydrolase,1.306092710092476e-06,1,1,R12635,
ec:1.13.11.4,"gentisate 1,2-dioxygenase",1.2854233735122207e-06,1,1,R02656,
ec:4.1.1.62,gentisate decarboxylase,1.2854233735122207e-06,1,1,R02489,
ec:1.14.13.24,3-hydroxybenzoate 6-monooxygenase,1.2854233735122207e-06,1,1,R02589,
ec:4.1.1.75,5-guanidino-2-oxopentanoate decarboxylase,1.2632031548225012e-06,1,1,R03178,
ec:2.6.1.84,arginine---pyruvate transaminase,1.2632031548225012e-06,1,1,R08197,
ec:2.6.1.125,L-arginine:2-oxoglutarate transaminase,1.2632031548225012e-06,1,1,R13305,
ec:1.4.3.25,L-arginine oxidase,1.2632031548225012e-06,1,1,R11604,
ec:2.1.1.243,5-guanidino-2-oxopentanoate (3R)-methyltransferase,1.2632031548225012e-06,1,1,R09939,
ec:1.14.11.3,pyrimidine-deoxynucleoside 2'-dioxygenase,1.252531568763227e-06,1,1,R01879,
ec:1.14.14.138,lithocholate 6beta-hydroxylase,1.2496055709313404e-06,1,1,R07203,
ec:1.1.1.392,3alpha-hydroxycholanate dehydrogenase (NADP+),1.2496055709313404e-06,1,1,R11145,
ec:1.1.1.52,3alpha-hydroxycholanate dehydrogenase (NAD+),1.2496055709313404e-06,1,1,R04139,
ec:2.1.1.1,nicotinamide N-methyltransferase,1.2230236068328372e-06,1,1,R01269,
ec:2.7.1.114,AMP---thymidine kinase,1.2193283283016235e-06,1,1,R01571,
ec:3.13.2.3,(R)-S-adenosyl-L-methionine hydrolase (adenosine-forming),1.2193283283016235e-06,1,1,R12098,
ec:2.5.1.153,adenosine tuberculosinyltransferase,1.2193283283016235e-06,1,1,R12669,
ec:2.7.1.20,adenosine kinase,1.2193283283016235e-06,1,1,R00185,
ec:3.13.2.1,adenosylhomocysteinase,1.2193283283016235e-06,1,1,R00192,
ec:3.2.2.7,adenosine nucleosidase,1.2193283283016235e-06,1,1,R01245,Adenosine + H2O <=> Adenine + D-Ribose
ec:1.1.1.98,(R)-2-hydroxy-fatty-acid dehydrogenase,1.212342884755489e-06,1,1,R03021,(R)-2-Hydroxystearate + NAD+ <=> 2-Oxooctadecanoic acid + NADH + H+
ec:4.1.1.88,biotin-independent malonate decarboxylase,1.211289409840676e-06,1,1,R09483,
ec:2.3.1.187,acetyl-S-ACP:malonate ACP transferase,1.211289409840676e-06,1,1,R08944,
ec:2.8.3.3,malonate CoA-transferase,1.211289409840676e-06,1,1,R00743,
